famille,Profil,h_mm,b_mm,e_ame_mm,e_semelle_mm,poids_kg_m,Iy_cm4,Wply_cm3
IPE,IPE 80,80,46,3.8,5.2,6,80.1,20
IPE,IPE 100,100,55,4.1,5.7,8.1,171,34.2
IPE,IPE 120,120,64,4.4,6.3,10.4,318,53
IPE,IPE 140,140,73,4.7,6.9,12.9,541,88.3
IPE,IPE 160,160,82,5,7.4,15.8,869,127
IPE,IPE 180,180,91,5.3,8,18.8,1317,186
IPE,IPE 200,200,100,5.6,8.5,22.4,1943,245
IPE,IPE 220,220,110,5.9,9.2,26.2,2772,328
IPE,IPE 240,240,120,6.2,9.8,30.7,3892,429
IPE,IPE 270,270,135,6.6,10.2,36.1,5790,573
IPE,IPE 300,300,150,7.1,10.7,42.2,8356,763
IPE,IPE 330,330,160,7.5,11.5,49.1,11770,986
IPE,IPE 360,360,170,8,12.7,57.1,16270,1255
HEA,HEA 100,96,100,5,8,16.7,349.2,76.8
HEA,HEA 120,114,120,5,8,19.9,606.2,110
HEA,HEA 140,133,140,5.5,8.5,24.7,1033,169
HEA,HEA 160,152,160,6,9,30.4,1673,241
HEA,HEA 180,171,180,6,9.5,35.5,2510,335
HEA,HEA 200,190,200,6.5,10,42.3,3692,459
HEA,HEA 220,210,220,7,11,50.5,5410,598
HEA,HEA 240,230,240,7.5,12,60.3,7763,788
HEA,HEA 260,250,260,7.5,12.5,68.2,10455,959
HEA,HEA 280,270,280,8,13,76.4,13673,1150
HEA,HEA 300,290,300,8.5,14,88.3,18260,1419
HEA,HEA 320,310,300,9,15.5,97.6,22930,1693
HEA,HEA 340,330,300,9.5,16.5,105,28430,1985
